credits1,credits2,credits_earned1,credits_earned2,session1,winter_ac_standing,GPA_year1,GPA_year2,CGPA_year1,CGPA_year2,totcredits_year1,totcredits_year2,goodstanding_year1,goodstanding_year2,winter_ac_stand_year1,winter_ac_stand_year2,fallreg_year1,fallreg_year2,act_fallreg_year1,act_fallreg_year2,summerreg_year1,summerreg_year2,sex,mtongue,identifier,age_at_entry,bpl_north_america,bpl_asia,canadian,bpl_other,firstyear,yearstodegree,gradin4,gradin5,gradin6,gradin4orcont,cumcredits1,cumcredits2,prog_science,prog_socsci_bus,prog_socscihum,prog_unknown,english,noenglish,french,other_lang,female,male,gpacutoff,dist_from_cut,year2_dist_from_cut,CGPA_final,nextGPA,nextCGPA,probation_year1,probation_year2,probation_summer1,probation_summer2,probation_ever,suspended_year1,suspended_summer1,suspended_year2,suspended_summer2,suspended_ever,loc_campus1,loc_campus2,loc_campus3,all,left_school,gpalscutoff,gpaXgpalscutoff,gpaXgpagrcutoff,gpasqXgpagrcutoff,dist_from_cut_med10,dist_from_cut_med05,dist_from_cut_med025,hsgrade_pct,veryhighHS,highHS,lowHS,maleXhighHS,femaleXhighHS,maleXlowabil,femaleXlowabil,clustervar,summer,gender,birthplace,study_campus,first_language,on_probation_after_1st_year,ever_on_probation,left_university_after_1st_evaluation,ever_suspended,graduated_by_year4,graduated_by_year5,graduated_by_year6,all_students,status
2.5,2.5,2,2.5,19969,OKAY,1.5399999618530273,2.2200000286102295,1.5399999618530273,1.7899999618530273,4.5,3.5,1,1,OKAY,OKAY,1,1,REG,REG,0,1,F,English,3496,18,1,0,1,0,1996,4,1,1,1,1,2,4.5,0,NA,0,1,1,0,0,0,1,0,1.5,0.03999999910593033,0.7200000286102295,2.2799999713897705,0.7200000286102295,0.28999996185302734,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.039999961853027344,0.0015999969327822328,0.05000000074505806,0.02500000037252903,0.05249999836087227,13,0,0,1,0,0,0,1,0.03999999910593033,0,Female,North America,Campus 2,English,No,No,No,No,Yes,Yes,Yes,All Students,In Good Standing
2.5,2,2.5,0.5,19979,OKAY,1.659999966621399,0.6600000262260437,1.659999966621399,1.25,5,3.5,1,0,OKAY,PROB,1,1,REG,REG,0,0,F,English,3511,19,1,0,1,0,1997,5,0,1,1,1,2.5,3,0,NA,0,1,1,0,0,0,1,0,1.5,0.1599999964237213,-0.8399999737739563,2.0399999618530273,-0.8399999737739563,-0.25,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.15999996662139893,0.025599990040063858,0.15000000596046448,0.17499999701976776,0.17249999940395355,64,0,1,0,0,1,0,0,0.1599999964237213,0,Female,North America,Campus 1,English,No,Yes,No,No,No,Yes,Yes,All Students,In Good Standing
2.5,0,2,0,20029,PROB,1.4199999570846558,NA,1.4199999570846558,NA,5,0,0,0,PROB,,1,0,REG,FINCA,1,0,F,English,3520,19,1,0,1,0,2002,NA,NA,NA,NA,NA,2,2,0,0,1,0,1,0,0,0,1,0,1.5,-0.07999999821186066,NA,NA,-0.20000004768371582,-0.10000002384185791,1,NA,0,NA,1,0,1,NA,NA,1,1,0,0,1,0,1,-0.08000004291534424,0,0,-0.05000000074505806,-0.07500000298023224,-0.06750000268220901,58,0,1,0,0,1,0,0,-0.07999999821186066,1,Female,North America,Campus 1,English,Yes,Yes,No,Yes,NA,NA,NA,All Students,On Academic Probation
3.5,4,3,3.5,20039,OKAY,1.590000033378601,2.049999952316284,1.590000033378601,1.7699999809265137,5,5,1,1,OKAY,OKAY,1,1,REG,REG,1,1,F,English,3525,18,1,0,1,0,2003,NA,NA,NA,NA,NA,3,6.5,1,0,0,0,1,0,0,0,1,0,1.5,0.09000000357627869,0.550000011920929,NA,-0.5,0.019999980926513672,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.09000003337860107,0.00810000579804182,0.05000000074505806,0.07500000298023224,0.0925000011920929,52,0,1,0,0,1,0,0,0.09000000357627869,1,Female,North America,Campus 2,English,No,No,No,No,NA,NA,NA,All Students,In Good Standing
2.5,3.5,2.5,3,20019,OKAY,1.7599999904632568,1.2999999523162842,1.7599999904632568,1.5299999713897705,4,4,1,0,OKAY,PROB,1,1,REG,REG,0,0,F,Other,3575,19,1,0,0,0,2001,NA,0,NA,NA,1,2.5,5.5,0,NA,0,1,0,1,0,1,1,0,1.600000023841858,0.1599999964237213,-0.30000001192092896,1.8799999952316284,-0.30000007152557373,-0.0700000524520874,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.15999996662139893,0.025599990040063858,0.15000000596046448,0.17499999701976776,0.17249999940395355,26,0,0,1,0,0,0,1,0.1599999964237213,0,Female,North America,Campus 3,Other,No,Yes,No,No,No,NA,NA,All Students,In Good Standing
3.5,3.5,3.5,3.5,20019,PROB,1.3700000047683716,2.619999885559082,1.3700000047683716,1.840000033378601,5.5,4,0,1,PROB,OKAY,1,1,REG,REG,0,0,F,Other,3703,19,1,0,1,0,2001,NA,0,NA,NA,1,3.5,7,1,0,0,0,0,1,0,1,1,0,1.5,-0.12999999523162842,1.1200000047683716,2.5199999809265137,1.119999885559082,0.3400000333786011,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,-0.12999999523162842,0,0,-0.15000000596046448,-0.125,-0.1274999976158142,86,1,1,0,0,1,0,0,-0.12999999523162842,0,Female,North America,Campus 2,Other,Yes,Yes,No,No,No,NA,NA,All Students,On Academic Probation
2.5,2.5,2,2,19999,PROB,1.3899999856948853,1.2100000381469727,1.3899999856948853,1.2999999523162842,4,4,0,0,PROB,SUS1,1,1,REG,REG,0,0,M,Other,3770,19,0,0,0,1,1999,NA,0,0,0,0,2,4,0,1,1,0,0,1,0,1,0,1,1.5,-0.10999999940395355,-0.28999999165534973,NA,-0.28999996185302734,-0.20000004768371582,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,-0.11000001430511475,0,0,-0.15000000596046448,-0.125,-0.10750000178813934,23,0,0,1,0,0,1,0,-0.10999999940395355,0,Male,Other,Campus 2,Other,Yes,Yes,No,Yes,No,No,No,All Students,On Academic Probation
1.5,2,1.5,1,19979,PROB,1.4700000286102295,0.7799999713897705,1.4700000286102295,1.1299999952316284,3,3,0,0,PROB,SUS1,1,1,REG,REG,0,0,F,English,3772,20,1,0,1,0,1997,NA,0,0,0,0,1.5,2.5,0,NA,0,1,1,0,0,0,1,0,1.600000023841858,-0.12999999523162842,-0.8199999928474426,NA,-0.8200000524520874,-0.4700000286102295,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,-0.12999999523162842,0,0,-0.15000000596046448,-0.125,-0.1274999976158142,2,0,0,1,0,0,0,1,-0.12999999523162842,0,Female,North America,Campus 3,English,Yes,Yes,No,Yes,No,No,No,All Students,On Academic Probation
2.5,2.5,2.5,2.5,19979,PROB,1.3899999856948853,1.9700000286102295,1.3899999856948853,1.6200000047683716,4.5,4,0,1,PROB,OKAY,1,1,REG,REG,0,0,F,English,3849,19,1,0,1,0,1997,7,1,0,0,1,2.5,5,0,NA,0,1,1,0,0,0,1,0,1.5,-0.10999999940395355,0.4699999988079071,NA,0.4700000286102295,0.12000000476837158,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,-0.11000001430511475,0,0,-0.15000000596046448,-0.125,-0.10750000178813934,50,0,0,1,0,0,0,1,-0.10999999940395355,0,Female,North America,Campus 1,English,Yes,Yes,No,No,Yes,No,No,All Students,On Academic Probation
2.5,4,2.5,4,20019,OKAY,1.590000033378601,3.049999952316284,1.590000033378601,2.5,4,4,1,1,OKAY,OKAY,1,1,REG,REG,1,0,F,English,3864,19,1,0,1,0,2001,NA,0,NA,NA,0,2.5,6.5,1,0,0,0,1,0,0,0,1,0,1.5,0.09000000357627869,1.5499999523162842,NA,1.9700000286102295,0.5999999046325684,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.09000003337860107,0.00810000579804182,0.05000000074505806,0.07500000298023224,0.0925000011920929,42,0,0,1,0,0,0,1,0.09000000357627869,1,Female,North America,Campus 2,English,No,No,No,No,No,NA,NA,All Students,In Good Standing
3,2.5,2,2,19979,PROB,1.440000057220459,1.2899999618530273,1.440000057220459,1.3700000047683716,4,3.5,0,0,PROB,SUS1,1,1,REG,REG,0,0,F,English,3889,18,1,0,1,0,1997,6,0,0,1,1,2,4,0,NA,0,1,1,0,0,0,1,0,1.5,-0.05999999865889549,-0.20999999344348907,NA,-0.21000003814697266,-0.12999999523162842,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,-0.059999942779541016,0,0,-0.05000000074505806,-0.07500000298023224,-0.04749999940395355,35,0,0,1,0,0,0,1,-0.05999999865889549,0,Female,North America,Campus 1,English,Yes,Yes,No,Yes,No,No,Yes,All Students,On Academic Probation
2.5,2.5,2,2.5,20039,PROB,1.4800000190734863,2.009999990463257,1.4800000190734863,1.7400000095367432,4,4,0,1,PROB,OKAY,1,1,REG,REG,0,0,F,English,3965,18,1,0,1,0,2003,NA,NA,NA,NA,NA,2,4.5,0,0,1,0,1,0,0,0,1,0,1.5,-0.019999999552965164,0.5099999904632568,NA,0.5099999904632568,0.24000000953674316,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,-0.019999980926513672,0,0,-0.05000000074505806,-0.02500000037252903,-0.007499999832361937,28,0,0,1,0,0,0,1,-0.019999999552965164,0,Female,North America,Campus 1,English,Yes,Yes,No,No,NA,NA,NA,All Students,On Academic Probation
3,4,3,4,20009,OKAY,1.75,3.009999990463257,1.75,2.509999990463257,5,5,1,1,OKAY,OKAY,1,1,REG,REG,1,0,M,English,4004,18,1,0,1,0,2000,4,1,1,NA,1,3,7,1,0,0,0,1,0,0,0,0,1,1.600000023841858,0.15000000596046448,1.409999966621399,2.930000066757202,1.399999976158142,0.3999999761581421,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.1499999761581421,0.022499993443489075,0.15000000596046448,0.17499999701976776,0.1525000035762787,49,0,0,1,0,0,1,0,0.15000000596046448,1,Male,North America,Campus 3,English,No,No,No,No,Yes,Yes,NA,All Students,In Good Standing
2,0,1.5,0,20019,OKAY,1.600000023841858,NA,1.600000023841858,NA,4,0,1,0,OKAY,,1,0,REG,FINCA,0,1,M,English,4171,20,1,0,1,0,2001,NA,0,NA,NA,1,1.5,1.5,0,0,1,0,1,0,0,0,0,1,1.5,0.10000000149011612,NA,2.4000000953674316,NA,NA,0,NA,0,NA,0,0,0,NA,NA,0,1,0,0,1,0,0,0,0.10000002384185791,0.010000004433095455,0.15000000596046448,0.125,0.11249999701976776,39,0,0,1,0,0,1,0,0.10000000149011612,0,Male,North America,Campus 1,English,No,No,No,No,No,NA,NA,All Students,In Good Standing
2,1.5,2,1.5,19989,OKAY,1.5800000429153442,1.5700000524520874,1.5800000429153442,1.6299999952316284,4,3,1,1,OKAY,OKAY,1,1,REG,REG,1,1,M,English,4186,19,1,0,1,0,1998,6,0,0,1,1,2,3.5,0,NA,0,1,1,0,0,0,0,1,1.5,0.07999999821186066,0.07000000029802322,NA,0.5,0.15999996662139893,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.08000004291534424,0.006400006823241711,0.05000000074505806,0.07500000298023224,0.0925000011920929,24,0,0,1,0,0,1,0,0.07999999821186066,1,Male,North America,Campus 1,English,No,No,No,No,No,No,Yes,All Students,In Good Standing
3,2.5,3,2.5,19999,OKAY,1.5700000524520874,2.940000057220459,1.5700000524520874,2.2899999618530273,4.5,5,1,1,OKAY,OKAY,1,1,REG,REG,0,1,F,English,4197,18,1,0,1,0,1999,4,1,1,1,1,3,5.5,0,1,1,0,1,0,0,0,1,0,1.5,0.07000000029802322,1.440000057220459,2.7100000381469727,1.440000057220459,0.7899999618530273,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0700000524520874,0.004900007508695126,0.05000000074505806,0.07500000298023224,0.07249999791383743,55,0,1,0,0,1,0,0,0.07000000029802322,0,Female,North America,Campus 1,English,No,No,No,No,Yes,Yes,Yes,All Students,In Good Standing
4,2,3,2,20029,OKAY,1.5700000524520874,2.119999885559082,1.5700000524520874,1.809999942779541,5,3,1,1,OKAY,OKAY,1,1,REG,REG,1,1,F,English,4237,18,1,0,1,0,2002,NA,NA,NA,NA,NA,3,5,1,0,0,0,1,0,0,0,1,0,1.5,0.07000000029802322,0.6200000047683716,NA,0.7999999523162842,0.13999998569488525,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0700000524520874,0.004900007508695126,0.05000000074505806,0.07500000298023224,0.07249999791383743,21,0,0,1,0,0,0,1,0.07000000029802322,1,Female,North America,Campus 2,English,No,No,No,No,NA,NA,NA,All Students,In Good Standing
3,3,2.5,3,20039,OKAY,1.5700000524520874,1.4700000286102295,1.5700000524520874,1.5199999809265137,5,5,1,1,OKAY,OKAY,1,1,REG,REG,0,0,F,English,4281,18,1,0,1,0,2003,NA,NA,NA,NA,NA,2.5,5.5,0,1,1,0,1,0,0,0,1,0,1.5,0.07000000029802322,-0.029999999329447746,NA,-0.029999971389770508,0.019999980926513672,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0700000524520874,0.004900007508695126,0.05000000074505806,0.07500000298023224,0.07249999791383743,8,0,0,1,0,0,0,1,0.07000000029802322,0,Female,North America,Campus 2,English,No,No,No,No,NA,NA,NA,All Students,In Good Standing
2.5,3,1.5,3,20009,OKAY,1.559999942779541,3.240000009536743,1.559999942779541,2.390000104904175,4.5,4.5,1,1,OKAY,OKAY,1,1,REG,REG,1,1,F,English,4300,19,1,0,1,0,2000,5,0,1,NA,1,1.5,4.5,0,1,1,0,1,0,0,0,1,0,1.5,0.05999999865889549,1.7400000095367432,2.759999990463257,1.6500000953674316,0.3500000238418579,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.059999942779541016,0.003599993186071515,0.05000000074505806,0.07500000298023224,0.07249999791383743,20,0,0,1,0,0,0,1,0.05999999865889549,1,Female,North America,Campus 2,English,No,No,No,No,No,Yes,NA,All Students,In Good Standing
2.5,5,2.5,5,20019,OKAY,1.6699999570846558,2.3399999141693115,1.6699999570846558,2.0799999237060547,4,5,1,1,OKAY,OKAY,1,1,REG,REG,1,1,F,Other,4343,18,0,1,0,0,2001,3,1,NA,NA,1,2.5,7.5,0,NA,0,1,0,1,0,1,1,0,1.600000023841858,0.07000000029802322,0.7400000095367432,NA,0.3999999761581421,0.1499999761581421,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.06999993324279785,0.0048999907448887825,0.05000000074505806,0.07500000298023224,0.07249999791383743,6,0,0,1,0,0,0,1,0.07000000029802322,1,Female,Asia,Campus 3,Other,No,No,No,No,Yes,NA,NA,All Students,In Good Standing
2.5,3,2,3,20039,PROB,1.5099999904632568,1.9500000476837158,1.5099999904632568,1.7200000286102295,3.5,3,0,1,PROB,OKAY,1,1,REG,REG,0,0,F,English,4353,19,1,0,1,0,2003,NA,NA,NA,NA,NA,2,5,0,NA,0,1,1,0,0,0,1,0,1.600000023841858,-0.09000000357627869,0.3499999940395355,NA,0.3500000238418579,0.12000000476837158,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,-0.09000003337860107,0,0,-0.05000000074505806,-0.07500000298023224,-0.08749999850988388,4,0,0,1,0,0,0,1,-0.09000000357627869,0,Female,North America,Campus 3,English,Yes,Yes,No,No,NA,NA,NA,All Students,On Academic Probation
3,2.5,2.5,2,20029,OKAY,1.5399999618530273,2.5199999809265137,1.5399999618530273,1.909999966621399,5,3,1,1,OKAY,OKAY,1,1,REG,REG,0,0,F,English,4391,19,1,0,1,0,2002,NA,NA,NA,NA,NA,2.5,4.5,1,0,0,0,1,0,0,0,1,0,1.5,0.03999999910593033,1.0199999809265137,NA,1.0199999809265137,0.4099999666213989,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.039999961853027344,0.0015999969327822328,0.05000000074505806,0.02500000037252903,0.05249999836087227,27,0,0,1,0,0,0,1,0.03999999910593033,0,Female,North America,Campus 1,English,No,No,No,No,NA,NA,NA,All Students,In Good Standing
3.5,3.5,3,2,20039,OKAY,1.6100000143051147,0.8999999761581421,1.6100000143051147,1.2599999904632568,3.5,3.5,1,0,OKAY,S12,1,1,REG,REG,0,0,M,English,4413,19,1,0,1,0,2003,NA,NA,NA,NA,NA,3,5,1,0,0,0,1,0,0,0,0,1,1.600000023841858,0.009999999776482582,-0.699999988079071,NA,-0.7000000476837158,-0.3400000333786011,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.009999990463256836,9.999980829888955e-5,0.05000000074505806,0.02500000037252903,0.012500000186264515,14,0,0,1,0,0,1,0,0.009999999776482582,0,Male,North America,Campus 3,English,No,No,No,No,NA,NA,NA,All Students,In Good Standing
3,0,2,0,20009,PROB,1.4900000095367432,NA,1.4900000095367432,NA,4,0,0,0,PROB,,1,0,REG,FINCA,1,0,M,English,4439,19,1,0,1,0,2000,NA,0,0,NA,0,2,2,1,0,0,0,1,0,0,0,0,1,1.5,-0.009999999776482582,NA,NA,-0.8199999928474426,-0.2799999713897705,1,NA,0,NA,1,0,1,NA,NA,1,1,0,0,1,0,1,-0.009999990463256836,0,0,-0.05000000074505806,-0.02500000037252903,-0.007499999832361937,61,0,1,0,1,0,0,0,-0.009999999776482582,1,Male,North America,Campus 1,English,Yes,Yes,No,Yes,No,No,NA,All Students,On Academic Probation
4.5,4.5,4,4.5,20039,OKAY,1.7400000095367432,2.509999990463257,1.7400000095367432,2.109999895095825,5,4.5,1,1,OKAY,OKAY,1,1,REG,REG,0,1,M,English,4503,17,1,0,1,0,2003,NA,NA,NA,NA,NA,4,8.5,0,NA,0,1,1,0,0,0,0,1,1.600000023841858,0.14000000059604645,0.9100000262260437,NA,0.9099999666213989,0.5099998712539673,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.13999998569488525,0.019599996507167816,0.15000000596046448,0.125,0.1525000035762787,36,0,0,1,0,0,1,0,0.14000000059604645,0,Male,North America,Campus 3,English,No,No,No,No,NA,NA,NA,All Students,In Good Standing
2,2.5,1.5,0,20009,PROB,1.4299999475479126,0,1.4299999475479126,0.7599999904632568,5,3.5,0,0,PROB,SUS1,1,1,REG,REG,0,0,F,English,4542,18,1,0,1,0,2000,NA,0,0,NA,0,1.5,1.5,0,0,1,0,1,0,0,0,1,0,1.5,-0.07000000029802322,-1.5,NA,-1.5,-0.7400000095367432,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,-0.0700000524520874,0,0,-0.05000000074505806,-0.07500000298023224,-0.06750000268220901,24,0,0,1,0,0,0,1,-0.07000000029802322,0,Female,North America,Campus 1,English,Yes,Yes,No,Yes,No,No,NA,All Students,On Academic Probation
2,4.5,2,3,20019,PROB,1.5,1.5399999618530273,1.5,1.5199999809265137,4,5,0,0,PROB,SUS1,1,1,REG,REG,0,0,F,English,4543,19,1,0,1,0,2001,4,1,NA,NA,1,2,5,0,NA,0,1,1,0,0,0,1,0,1.600000023841858,-0.10000000149011612,-0.05999999865889549,1.8300000429153442,-0.060000061988830566,-0.08000004291534424,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,-0.10000002384185791,0,0,-0.05000000074505806,-0.07500000298023224,-0.08749999850988388,15,0,0,1,0,0,0,1,-0.10000000149011612,0,Female,North America,Campus 3,English,Yes,Yes,No,Yes,Yes,NA,NA,All Students,On Academic Probation
2.5,2.5,2.5,2.5,20039,PROB,1.340000033378601,1.340000033378601,1.340000033378601,1.340000033378601,5,3.5,0,0,PROB,SUS1,1,1,REG,REG,0,0,M,English,4580,18,1,0,1,0,2003,NA,NA,NA,NA,NA,2.5,5,0,0,1,0,1,0,0,0,0,1,1.5,-0.1599999964237213,-0.1599999964237213,NA,-0.15999996662139893,-0.15999996662139893,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,-0.15999996662139893,0,0,-0.15000000596046448,-0.17499999701976776,-0.14749999344348907,22,0,0,1,0,0,1,0,-0.1599999964237213,0,Male,North America,Campus 2,English,Yes,Yes,No,Yes,NA,NA,NA,All Students,On Academic Probation
3.5,2,3.5,2,20039,OKAY,1.6399999856948853,1.75,1.6399999856948853,1.690000057220459,4.5,4,1,1,OKAY,OKAY,1,1,REG,REG,0,0,F,Other,4593,19,1,0,1,0,2003,NA,NA,NA,NA,NA,3.5,5.5,0,0,1,0,0,1,0,1,1,0,1.5,0.14000000059604645,0.25,NA,0.25,0.19000005722045898,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.13999998569488525,0.019599996507167816,0.15000000596046448,0.125,0.1525000035762787,6,0,0,1,0,0,0,1,0.14000000059604645,0,Female,North America,Campus 2,Other,No,No,No,No,NA,NA,NA,All Students,In Good Standing
3,2.5,2,0.5,19999,OKAY,1.7599999904632568,0.7699999809265137,1.7599999904632568,1.190000057220459,3.5,3.5,1,0,OKAY,SUS1,1,1,REG,REG,1,0,M,English,4695,19,0,1,0,0,1999,NA,0,0,0,0,2,2.5,1,0,0,0,1,0,0,0,0,1,1.600000023841858,0.1599999964237213,-0.8299999833106995,NA,-0.9000000357627869,-0.08000004291534424,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0.15999996662139893,0.025599990040063858,0.15000000596046448,0.17499999701976776,0.17249999940395355,12,0,0,1,0,0,1,0,0.1599999964237213,1,Male,Asia,Campus 3,English,No,Yes,No,Yes,No,No,No,All Students,In Good Standing
2,2.5,2,1.5,19969,OKAY,1.649999976158142,1.4600000381469727,1.649999976158142,1.6100000143051147,4,3.5,1,1,OKAY,OKAY,1,1,REG,REG,1,0,M,Other,4725,19,0,0,0,1,1996,6,0,0,1,1,2,3.5,0,NA,0,1,0,1,0,1,0,1,1.5,0.15000000596046448,-0.03999999910593033,NA,0.5,0.2200000286102295,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.1499999761581421,0.022499993443489075,0.15000000596046448,0.17499999701976776,0.1525000035762787,25,0,0,1,0,0,1,0,0.15000000596046448,1,Male,Other,Campus 1,Other,No,No,No,No,No,No,Yes,All Students,In Good Standing
2.5,1.5,2.5,1,19989,PROB,1.3899999856948853,1.3300000429153442,1.3899999856948853,1.3700000047683716,4,2,0,0,PROB,SUS1,1,1,REG,REG,0,0,M,English,4790,19,1,0,1,0,1998,NA,0,0,0,0,2.5,3.5,0,NA,0,1,1,0,0,0,0,1,1.5,-0.10999999940395355,-0.17000000178813934,NA,-0.16999995708465576,-0.12999999523162842,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,-0.11000001430511475,0,0,-0.15000000596046448,-0.125,-0.10750000178813934,5,0,0,1,0,0,1,0,-0.10999999940395355,0,Male,North America,Campus 1,English,Yes,Yes,No,Yes,No,No,No,All Students,On Academic Probation
4,5.5,3.5,5,20039,OKAY,1.6299999952316284,1.850000023841858,1.6299999952316284,1.5099999904632568,4,5.5,1,0,OKAY,PROB,1,1,REG,REG,1,1,M,Other,4835,17,1,0,1,0,2003,NA,NA,NA,NA,NA,3.5,8.5,0,0,1,0,0,1,0,1,0,1,1.600000023841858,0.029999999329447746,0.25,NA,-1,-0.3700000047683716,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.029999971389770508,8.999982965178788e-4,0.05000000074505806,0.02500000037252903,0.032499998807907104,81,1,1,0,1,0,0,0,0.029999999329447746,1,Male,North America,Campus 3,Other,No,Yes,No,No,NA,NA,NA,All Students,In Good Standing
3,3,3,1.5,20029,OKAY,1.559999942779541,0.5,1.559999942779541,0.9700000286102295,4,5.5,1,0,OKAY,PROB,1,1,REG,REG,1,1,F,Other,4873,18,1,0,1,0,2002,NA,NA,NA,NA,NA,3,4.5,0,1,1,0,0,1,0,1,1,0,1.5,0.05999999865889549,-1,NA,-1,-0.5299999713897705,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0.059999942779541016,0.003599993186071515,0.05000000074505806,0.07500000298023224,0.07249999791383743,1,0,0,1,0,0,0,1,0.05999999865889549,0,Female,North America,Campus 2,Other,No,Yes,No,Yes,NA,NA,NA,All Students,In Good Standing
3,3,2.5,3,19999,PROB,1.559999942779541,2.2300000190734863,1.559999942779541,1.8899999856948853,4,4,0,1,PROB,OKAY,1,1,REG,REG,0,1,M,Other,4908,19,1,0,1,0,1999,4.5,0,1,1,0,2.5,5.5,1,0,0,0,0,1,0,1,0,1,1.600000023841858,-0.03999999910593033,0.6299999952316284,2.009999990463257,0.6299999952316284,0.28999996185302734,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,-0.040000081062316895,0,0,-0.05000000074505806,-0.02500000037252903,-0.027499999850988388,30,0,0,1,0,0,1,0,-0.03999999910593033,0,Male,North America,Campus 3,Other,Yes,Yes,No,No,No,Yes,Yes,All Students,On Academic Probation
2.5,2,2.5,2,19969,OKAY,1.7599999904632568,2.25,1.7599999904632568,2.009999990463257,4,4,1,1,OKAY,OKAY,1,1,REG,REG,0,0,F,English,4910,19,1,0,1,0,1996,5,0,1,1,1,2.5,4.5,0,NA,0,1,1,0,0,0,1,0,1.600000023841858,0.1599999964237213,0.6499999761581421,2.5199999809265137,0.6499999761581421,0.4099999666213989,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.15999996662139893,0.025599990040063858,0.15000000596046448,0.17499999701976776,0.17249999940395355,10,0,0,1,0,0,0,1,0.1599999964237213,0,Female,North America,Campus 3,English,No,No,No,No,No,Yes,Yes,All Students,In Good Standing
2.5,0,2,0,19989,OKAY,1.5199999809265137,NA,1.5199999809265137,NA,4.5,0,1,0,OKAY,,1,0,REG,FINCA,0,0,F,English,4915,19,1,0,1,0,1998,NA,0,0,0,0,2,2,0,NA,0,1,1,0,0,0,1,0,1.5,0.019999999552965164,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,0,1,0,0,1,1,0,0,0.019999980926513672,3.999992331955582e-4,0.05000000074505806,0.02500000037252903,0.032499998807907104,74,0,1,0,0,1,0,0,0.019999999552965164,0,Female,North America,Campus 1,English,No,No,Yes,No,No,No,No,All Students,In Good Standing
2.5,3,2,3,19989,OKAY,1.5399999618530273,2.740000009536743,1.5399999618530273,2.140000104904175,5,5,1,1,OKAY,OKAY,1,1,REG,REG,0,1,M,English,4966,18,1,0,1,0,1998,5,0,1,1,1,2,5,0,NA,0,1,1,0,0,0,0,1,1.5,0.03999999910593033,1.2400000095367432,2.640000104904175,1.2400000095367432,0.6400001049041748,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.039999961853027344,0.0015999969327822328,0.05000000074505806,0.02500000037252903,0.05249999836087227,40,0,0,1,0,0,1,0,0.03999999910593033,0,Male,North America,Campus 2,English,No,No,No,No,No,Yes,Yes,All Students,In Good Standing
3,2,2,1.5,19999,OKAY,1.659999966621399,1.2599999904632568,1.659999966621399,1.5800000429153442,4,2.5,1,1,OKAY,OKAY,1,1,REG,REG,1,0,M,English,4973,19,0,0,0,1,1999,NA,0,0,0,0,2,3.5,1,0,0,0,1,0,0,0,0,1,1.5,0.1599999964237213,-0.23999999463558197,NA,0.3999999761581421,0.23000001907348633,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.15999996662139893,0.025599990040063858,0.15000000596046448,0.17499999701976776,0.17249999940395355,7,0,0,1,0,0,1,0,0.1599999964237213,1,Male,Other,Campus 2,English,No,No,No,No,No,No,No,All Students,In Good Standing
